NCT ID,ICD-10 Codes
NCT00227266,"['C22.8', 'G12.0']"
NCT00227617,"['A04.71', 'A21.2', 'A21.3', 'A39.1', 'C25.3', 'D63.0', 'D70.1']"
NCT00227760,"['A04.71', 'D70.1']"
NCT00227903,"['F10.10', 'F10.11', 'F14.11']"
NCT00228566,"['G47.33', 'G47.419', 'K03.0']"
NCT00229619,"['C96.4', 'D46.0', 'D47.2', 'D60.0', 'D61.01', 'D61.89', 'E08.3311']"
NCT00230009,"['F19.10', 'Y35.001']"
NCT00230022,['F19.10']
NCT00230048,['F19.10']
NCT00230100,"['A69.22', 'E08.37', 'F19.10', 'F64.0', 'K12.31']"
NCT00230737,"['A66.7', 'B08.21', 'F10.182', 'G47.09', 'G47.20', 'O09.511']"
NCT00231062,"['A50.05', 'C31.0', 'C31.2', 'C31.3', 'H05.331', 'J01.00', 'J32.9']"
NCT00231179,"['F40.220', 'Y92.020']"
NCT00231283,['I21.01']
NCT00231413,['B97.7']
NCT00231465,"['D70.1', 'J91.0', 'O09.511']"
NCT00231816,['B00.82']
NCT00232557,"['J45.20', 'O26.20', 'R68.13', 'Y92.530', 'Z30.8']"
NCT00232739,['I21.01']
NCT00233090,"['F40.230', 'G93.3', 'H26.101']"
NCT00233103,"['F40.230', 'P91.4']"
NCT00233324,"['A07.0', 'B44.81', 'E08.311', 'E28.310', 'E70.321', 'E71.511', 'H02.021', 'J84.83', 'M10.30', 'O12.00', 'O26.00', 'O29.60', 'O42.011', 'P07.00', 'P61.2', 'T71.20', 'T82.111']"
NCT00233402,['A18.12']
NCT00233519,['G71.0']
NCT00235391,"['A18.17', 'A50.01', 'A69.22', 'C14.0', 'D46.0', 'D50.0', 'D50.8', 'D56.9', 'D75.81', 'E87.70']"
NCT00236938,"['D46.0', 'D50.0', 'K65.1']"
NCT00236951,"['D46.0', 'D61.810', 'D70.1']"
NCT00236977,"['D46.0', 'D50.0']"
NCT00237718,['N18.6']
NCT00237770,"['A17.81', 'A50.54', 'G91.2', 'I95.1', 'I95.3', 'P59.3', 'T65.5']"
NCT00238108,"['A69.22', 'G91.2', 'G93.2']"
NCT00238121,"['A04.71', 'C57.4']"
NCT00238264,"['A04.71', 'A06.6', 'A81.81', 'E23.3', 'E71.520', 'G11.1']"
NCT00238355,"['A00.9', 'A02.29']"
NCT00238433,"['A04.71', 'A06.7', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C84.60', 'D46.0', 'E71.520', 'H16.041', 'M31.30']"
NCT00239577,['A02.29']
NCT00239590,['I21.01']
NCT00240110,"['F14.10', 'F14.21', 'F25.0', 'F31.0']"
NCT00240487,['T65.5']
NCT00240994,"['A18.11', 'A98.5', 'D61.89', 'N18.6', 'T86.00']"
NCT00241839,"['A07.0', 'A50.54', 'G93.2']"
NCT00242385,"['A50.01', 'D50.0']"
NCT00242658,"['G91.2', 'G93.2', 'K08.54']"
NCT00243061,"['A04.71', 'B36.0', 'C00.0', 'C43.0', 'H05.821', 'H44.601']"
NCT00243243,['M61.30']
NCT00243269,['R11.0']
NCT00243919,"['G46.3', 'J45.990', 'Y92.84', 'Y93.01']"
NCT00243932,"['A18.17', 'E88.40', 'G12.21', 'G47.24']"
NCT00244101,"['A15.0', 'J84.83', 'N39.45', 'P61.2']"
NCT00244140,"['R90.0', 'R94.02']"
NCT00244842,"['A06.1', 'A18.15', 'A18.17', 'C15.4', 'C91.50', 'E08.37', 'F31.30', 'H11.031', 'L40.4', 'L76.01', 'O24.410', 'R68.13']"
NCT00244881,"['A04.71', 'C43.52']"
NCT00245037,"['A04.71', 'A19.1', 'A51.31', 'A68.0', 'A81.81', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C90.10', 'C90.20', 'C90.22', 'C93.12', 'C94.40', 'C94.6', 'D46.0', 'D46.1', 'D47.1', 'D47.3', 'E08.00', 'E85.0', 'F20.3', 'H11.411', 'H16.041', 'K20.0', 'L98.2', 'T36.0']"
NCT00245050,"['A04.71', 'A18.4', 'C43.52', 'C57.00', 'E28.0', 'H18.52', 'K65.1', 'N85.00']"
NCT00245102,"['A04.71', 'C00.0', 'C22.3', 'C46.0', 'C57.4', 'C91.50', 'E28.0', 'M67.20']"
NCT00245128,"['C94.40', 'D47.1', 'D47.3']"
NCT00245570,['J45.990']
NCT00245583,['F63.0']
NCT00246025,"['I24.0', 'Z47.1']"
NCT00246337,['G43.001']
NCT00246740,"['F40.230', 'I21.01', 'I25.700']"
NCT00247273,"['M80.00', 'N95.0']"
NCT00247611,"['D37.01', 'K12.31', 'P04.1']"
NCT00248287,['C43.52']
NCT00248612,"['A69.22', 'F01.50', 'F10.11', 'F10.21', 'Z63.72']"
NCT00248625,"['D61.89', 'E51.2']"
NCT00248638,['G62.81']
NCT00248651,"['A50.01', 'C16.0', 'H53.141', 'R11.0']"
NCT00248781,"['J45.990', 'W24.0', 'Y93.01']"
NCT00249002,"['E32.0', 'F01.50', 'I95.3']"
NCT00249444,"['F14.21', 'P91.4']"
NCT00249769,"['A39.81', 'A83.0']"
NCT00250458,['G43.001']
NCT00251303,"['F42.9', 'F80.0', 'G23.0', 'Z00.6', 'Z16.12']"
NCT00251316,"['A18.81', 'C00.0', 'J70.0']"
NCT00251745,"['A18.17', 'M15.4']"
NCT00251758,['A18.17']
NCT00251979,['A21.3']
NCT00253435,['A04.71']
NCT00253448,"['A81.81', 'C91.50']"
NCT00253890,"['F10.182', 'F19.10', 'P04.41', 'T40.3']"
NCT00254397,"['B08.010', 'C43.0', 'C96.4', 'D69.3', 'D70.1']"
NCT00254501,"['E08.00', 'O12.00']"
NCT00254592,"['A18.17', 'C43.52', 'E70.321', 'T50.7']"
NCT00255047,"['A36.3', 'A37.00', 'C82.80']"
NCT00255125,"['A18.14', 'E28.0']"
NCT00255177,['A51.45']
NCT00255723,"['A04.71', 'C81.00', 'C81.10', 'C81.20']"
NCT00255970,['E08.630']
NCT00256243,['C43.52']
NCT00256282,['C43.0']
NCT00256724,"['A02.1', 'D50.0', 'E86.0', 'E86.1', 'I95.3']"
NCT00256867,['E08.00']
NCT00257322,"['D70.1', 'K50.011']"
NCT00257686,"['D81.0', 'E78.00', 'O09.511']"
NCT00258011,"['A18.17', 'A39.1', 'E76.02']"
NCT00258128,['D68.51']
NCT00258180,"['A00.9', 'A21.3', 'K58.0']"
NCT00258206,"['A19.1', 'D46.0']"
NCT00258427,['D46.0']
NCT00258895,"['A36.3', 'A37.00']"
NCT00258908,"['A36.3', 'A37.00']"
NCT00260195,"['A69.22', 'E71.521', 'F01.50', 'G89.11', 'P91.4']"
NCT00260429,"['A18.17', 'M24.50']"
NCT00260689,"['C96.4', 'D61.01', 'D61.818', 'D69.41', 'D70.9']"
NCT00260962,"['E08.37', 'F50.02', 'Z00.6']"
NCT00261716,"['F20.5', 'F25.0', 'Z00.6', 'Z56.0']"
NCT00262028,['A39.0']
NCT00262041,['A39.0']
NCT00262080,['D56.4']
NCT00262223,"['A69.22', 'E08.37', 'F10.11', 'F10.20', 'F19.10']"
NCT00262301,"['A69.22', 'D56.4', 'T78.3']"
NCT00262639,"['E08.37', 'F10.21', 'F10.230', 'Z63.72']"
NCT00262873,"['C94.6', 'D46.0', 'D46.1']"
NCT00263211,"['C43.52', 'C96.0', 'D69.1']"
NCT00263562,"['A18.17', 'E08.37', 'N52.02']"
NCT00263887,"['A50.01', 'D50.0', 'P59.3', 'Z47.1']"
NCT00264238,['F42.9']
NCT00264797,['F19.10']
NCT00264810,"['F44.5', 'G40.001', 'T83.110']"
NCT00265083,"['A18.17', 'A18.4', 'L40.53']"
NCT00265096,"['A01.04', 'A18.4', 'L40.51']"
NCT00265122,"['A18.17', 'G44.051', 'T80.90']"
NCT00265473,"['E08.00', 'E08.641']"
NCT00265889,"['A04.71', 'C81.00']"
NCT00266110,"['A04.71', 'C43.52']"
NCT00266708,"['M80.00', 'N25.0', 'T86.00']"
NCT00266864,"['A17.81', 'A18.4', 'F64.1', 'Z47.1']"
NCT00267059,"['A87.2', 'C90.10']"
NCT00267111,"['F45.41', 'G44.051', 'H18.811', 'L08.82']"
NCT00267189,"['A06.4', 'P59.3']"
NCT00267670,"['A06.4', 'A07.0', 'A18.17', 'K75.81']"
NCT00267956,"['D47.2', 'L40.51']"
NCT00268203,"['C81.00', 'D46.0', 'Z45.2']"
NCT00268762,"['G45.0', 'G46.3', 'I85.00', 'Z37.0']"
NCT00269113,['C81.00']
NCT00269633,['J30.2']
NCT00270231,['F10.20']
NCT00270257,"['A02.0', 'A69.22', 'F10.20', 'P04.41']"
NCT00270296,"['A02.0', 'E08.37']"
NCT00270998,['N39.3']
NCT00271024,"['O99.330', 'Y36.810']"
NCT00271219,"['A69.22', 'D56.4', 'E71.511', 'F10.20', 'F11.21', 'F19.10', 'H26.051', 'P04.41', 'T40.3']"
NCT00271570,['A18.17']
NCT00271609,"['A04.71', 'A06.6', 'C00.0', 'D61.810']"
NCT00271856,"['F43.0', 'O24.410']"
NCT00272779,"['A02.0', 'E08.37']"
NCT00272844,"['A50.01', 'E78.70', 'E78.72', 'Z36.4']"
NCT00273754,"['A01.09', 'G47.33', 'G47.39']"
NCT00273910,"['A06.7', 'A18.17', 'C43.0', 'K12.31', 'Z05.41']"
NCT00274456,['C43.52']
NCT00274781,"['A51.31', 'C90.10', 'C93.12', 'C94.6', 'D46.0', 'D46.1', 'R85.616']"
NCT00274846,"['A04.71', 'A51.31', 'C90.10', 'H11.411']"
NCT00275340,"['F25.1', 'F45.41', 'I21.01', 'R68.13', 'Y93.01']"
NCT00275509,"['A18.11', 'D61.89', 'E70.321', 'K12.31', 'O61.0', 'O66.40', 'T86.01']"
NCT00276016,['A50.05']
NCT00276406,"['E08.00', 'K59.09', 'R39.14', 'Z83.71']"
NCT00276419,"['C43.52', 'O86.0']"
NCT00276549,['A18.14']
NCT00278148,['D70.1']
NCT00278343,"['A04.71', 'H18.52', 'K65.1']"
NCT00278512,['H35.061']
NCT00278525,['L94.0']
NCT00278564,['G72.0']
NCT00278863,"['C16.0', 'D61.810', 'I86.4']"
NCT00278876,"['A21.3', 'C46.0', 'D68.52', 'K12.31']"
NCT00278915,"['A39.1', 'A81.2', 'E30.1']"
NCT00278954,"['D50.0', 'D80.0', 'D82.0']"
NCT00279305,"['A50.45', 'E08.00', 'F60.7', 'Z31.62']"
NCT00279708,"['A21.2', 'D86.0', 'D86.3', 'G44.82', 'H40.041', 'K75.3', 'R68.13', 'T65.5']"
NCT00280241,"['A06.1', 'A87.2', 'C90.10']"
NCT00280384,['G24.3']
NCT00280397,['D70.1']
NCT00280826,"['E08.311', 'E08.3521', 'H01.9', 'H43.821', 'H44.131']"
NCT00281580,['G93.2']
NCT00281671,"['A06.6', 'A50.01', 'I25.700', 'T50.1']"
NCT00282048,"['C22.0', 'C96.0']"
NCT00282243,"['A06.4', 'C91.50', 'D64.2', 'K12.31']"
NCT00282282,"['A18.17', 'A18.2']"
NCT00282308,['M05.10']
NCT00282438,['D86.3']
NCT00282568,"['A18.11', 'C91.50', 'D64.2', 'K12.31']"
NCT00282815,"['G46.3', 'G47.33', 'N39.45']"
NCT00282867,"['E08.65', 'G45.0', 'G46.3', 'O24.414', 'O99.810', 'P74.3']"
NCT00282919,['B50.0']
NCT00283075,"['A18.11', 'D70.1', 'Q53.111']"
NCT00283244,['D70.1']
NCT00283296,"['O09.811', 'V00.811']"
NCT00283387,['E72.53']
NCT00283439,"['C81.00', 'D69.41', 'D70.1']"
NCT00283595,"['A52.77', 'A69.22', 'E22.2', 'F50.02', 'M80.00']"
NCT00283686,"['A17.0', 'A18.11', 'A18.17', 'A98.5', 'E28.2', 'G91.2', 'G93.2']"
NCT00283712,"['A07.0', 'D59.0', 'L10.5']"
NCT00283816,"['E28.2', 'E66.3', 'G47.23']"
NCT00283933,['A18.17']
NCT00283959,['A18.17']
NCT00284557,"['E66.01', 'F01.50', 'Y80.0']"
NCT00285779,['L43.9']
NCT00286156,['E28.2']
NCT00286182,"['D46.0', 'E28.0', 'G97.2', 'I50.1', 'O09.511']"
NCT00286221,['D18.02']
NCT00286325,['L12.0']
NCT00286741,"['E08.00', 'G93.2', 'O24.410', 'Y92.530']"
NCT00287287,"['C22.7', 'C82.00', 'C96.0', 'H10.411', 'Z00.6']"
NCT00287469,"['A51.45', 'B08.010']"
NCT00287690,"['D50.0', 'I21.01', 'I60.6', 'O24.410']"
NCT00287872,"['A19.1', 'C90.02']"
NCT00287989,"['A04.71', 'D70.1']"
NCT00288626,"['A68.0', 'C96.0', 'T45.1']"
NCT00288704,"['A07.0', 'A39.1', 'L50.0', 'M04.1']"
NCT00288886,"['E08.37', 'F10.11', 'F10.20', 'F19.10', 'F40.10', 'M26.57', 'Z31.42', 'Z52.810', 'Z63.72']"
NCT00289211,"['D56.4', 'P59.3']"
NCT00289341,['A18.14']
NCT00289458,['A01.04']
NCT00289718,['A51.45']
NCT00289770,"['A51.45', 'C91.50']"
NCT00289887,['G93.2']
NCT00289991,['T36.7']
NCT00290147,['B08.010']
NCT00290290,['A02.29']
NCT00290342,"['A36.3', 'A37.00']"
NCT00290355,['D70.1']
NCT00290472,"['A04.71', 'A87.2', 'C00.0', 'C81.49', 'C82.00', 'C83.50', 'C88.0', 'H16.041']"
NCT00290589,"['I16.1', 'K04.8', 'M54.5']"
NCT00290654,"['C22.0', 'C43.52']"
NCT00290732,"['C22.0', 'C43.52']"
NCT00290745,"['C22.0', 'C43.52']"
NCT00290758,['C43.52']
NCT00290810,['A87.2']
NCT00291135,"['C43.52', 'E32.0', 'E34.1', 'O29.011', 'R94.113']"
NCT00291226,['F20.0']
NCT00291447,['C96.0']
NCT00291486,['C96.0']
NCT00291551,['I50.1']
NCT00291642,"['A50.05', 'B44.81', 'J30.2']"
NCT00291694,"['C43.52', 'E32.0', 'P59.3', 'Z00.6']"
NCT00292045,"['A18.14', 'T81.503']"
NCT00292227,['D61.3']
NCT00292591,"['D51.0', 'E55.9', 'E83.81']"
NCT00292942,"['A52.04', 'B50.0']"
NCT00292981,"['D56.4', 'P59.3', 'Z86.73']"
NCT00293059,['I85.00']
NCT00293202,"['H01.9', 'I95.3', 'N18.6']"
NCT00293254,"['A02.0', 'E08.37']"
NCT00293267,"['A02.0', 'E08.37']"
NCT00293462,"['A04.71', 'C10.0', 'C11.0', 'C22.0', 'C44.02', 'D70.1', 'J34.81', 'J70.0']"
NCT00293540,"['A51.31', 'C43.52', 'T50.7']"
NCT00294658,"['G70.01', 'Z16.12']"
NCT00294671,"['A18.2', 'A36.81', 'A50.43', 'A52.15', 'E85.0', 'E85.4']"
NCT00294723,['E08.00']
NCT00295854,"['A18.12', 'A50.31', 'D82.3', 'F44.4', 'I16.0', 'R35.0']"
NCT00295893,"['A18.17', 'A87.2', 'C22.0', 'C43.52', 'C81.00', 'H10.411']"
NCT00296036,"['A00.9', 'A18.4', 'C43.52']"
NCT00296192,"['C30.0', 'Y38.0']"
NCT00296231,"['A15.0', 'C30.0', 'E27.1', 'E28.310', 'P61.2', 'R04.81', 'R35.0']"
NCT00296322,"['C16.0', 'D61.810']"
NCT00296335,"['C16.0', 'D61.810']"
NCT00296725,"['F25.1', 'P91.4']"
NCT00297037,['L28.0']
NCT00297167,"['C25.3', 'D55.0', 'E84.0', 'K86.81']"
NCT00297427,['N39.3']
NCT00297492,"['F17.220', 'Y36.810']"
NCT00297882,"['B50.0', 'Y38.0']"
NCT00298038,['E51.2']
NCT00298233,"['A08.0', 'A15.0', 'D68.312', 'J67.2', 'T37.5']"
NCT00298558,"['G31.84', 'Z76.2']"
NCT00298610,"['A38.9', 'B50.0']"
NCT00298766,['E85.4']
NCT00298831,['H18.811']
NCT00299182,"['C81.00', 'C83.19']"
NCT00299416,"['G45.0', 'G46.3']"
NCT00299689,"['A71.0', 'C00.0', 'C43.0']"
NCT00299728,"['B08.010', 'Z73.811']"
NCT00299741,"['A18.14', 'A52.77', 'D46.0']"
NCT00299975,"['K59.09', 'O24.410', 'Y80.0']"
NCT00300365,"['E78.70', 'E88.81']"
NCT00300391,"['F40.232', 'H02.021']"
NCT00300742,"['E66.01', 'F10.10', 'F10.21', 'F50.81', 'Z59.4']"
NCT00301028,"['C10.0', 'C11.0', 'C13.0', 'C22.0', 'D70.1']"
NCT00301834,"['A51.31', 'C90.10', 'C94.6', 'D46.0', 'D46.1', 'D69.41', 'D70.0', 'E71.520']"
NCT00302133,"['F10.21', 'F31.0', 'Z63.72']"
NCT00302159,"['A06.6', 'C82.00', 'D61.810', 'J70.0', 'L51.0']"
NCT00302731,['E28.310']
NCT00302952,['M05.10']
NCT00303316,"['A36.3', 'A37.00', 'A41.3', 'A51.45', 'A80.0']"
NCT00303329,"['A06.1', 'D46.0', 'D56.0', 'E87.70', 'J84.03']"
NCT00303446,"['A18.17', 'E28.1', 'G12.0', 'G12.20', 'Z74.8']"
NCT00304070,['C22.0']
NCT00304096,"['A04.71', 'C22.0', 'C43.52']"
NCT00304187,"['A69.22', 'F50.2', 'F50.81']"
NCT00304239,"['K12.31', 'L11.0', 'L57.0', 'R82.6']"
NCT00304356,"['A04.71', 'H10.221']"
NCT00304707,"['A69.22', 'Y36.810']"
NCT00304954,"['G23.2', 'H01.9', 'H16.401']"
NCT00305058,"['A06.0', 'F45.41', 'I16.1', 'O09.511']"
NCT00305110,"['A06.0', 'B50.8', 'C91.50', 'F45.41', 'I16.1']"
NCT00305253,"['D78.01', 'R57.1']"
NCT00305344,"['E08.00', 'J84.82', 'K42.0', 'O24.414']"
NCT00305643,"['A04.71', 'A18.4', 'A39.1', 'B07.0', 'C43.52', 'D70.1', 'E08.00', 'F45.41', 'K50.011']"
NCT00305682,"['C81.00', 'C90.10', 'D46.1', 'D47.1']"
NCT00305695,"['C22.0', 'D56.4', 'M80.00']"
NCT00306527,"['B08.010', 'C22.0', 'O09.511']"
NCT00306787,"['A04.71', 'A18.15', 'B00.82']"
NCT00307047,"['H34.00', 'I21.01', 'I24.0', 'T83.113', 'Z95.5']"
NCT00307125,"['B57.5', 'D84.0', 'T86.00']"
NCT00307151,"['A02.0', 'D68.51', 'E08.37', 'O98.311']"
NCT00307437,"['L40.0', 'L40.4']"
NCT00307801,['I85.00']
NCT00308061,"['B50.0', 'C02.0']"
NCT00308113,['G71.0']
NCT00308139,"['E08.00', 'Z65.2']"
NCT00308555,"['A06.1', 'F12.10', 'F45.41']"
NCT00308711,"['D61.810', 'G54.2', 'N81.5', 'N98.1', 'O34.211', 'O61.0', 'R29.700']"
NCT00308997,"['C06.2', 'C11.0', 'F12.151', 'F20.5', 'F25.0', 'R44.0', 'X50.3']"
NCT00309387,"['D53.0', 'E08.36']"
NCT00309777,['E78.00']
NCT00309842,"['A04.71', 'A51.31', 'A87.2', 'C81.00', 'C82.00', 'C83.19', 'C83.50', 'C83.79', 'C90.02', 'C90.10', 'C91.30', 'C93.12', 'C93.32', 'C94.40', 'C94.6', 'D46.0', 'D46.1', 'D75.81', 'E71.520']"
NCT00309907,"['A01.09', 'A04.71', 'A51.31', 'A68.0', 'B00.7', 'C83.50', 'C90.10', 'C93.32', 'C94.6', 'D46.0', 'E71.520']"
NCT00309946,['C45.0']
NCT00309959,"['A04.71', 'C22.0', 'G54.2']"
NCT00310310,"['D46.0', 'F40.232', 'N39.45', 'O26.20']"
NCT00310401,"['A06.5', 'B57.5', 'G93.82', 'I27.23', 'J81.1']"
NCT00310791,"['F50.02', 'F64.1', 'M80.00']"
NCT00310804,"['C22.0', 'T80.52', 'Y38.0', 'Z76.2']"
NCT00310856,"['A01.01', 'A39.0', 'B08.010']"
NCT00311246,"['D68.311', 'D86.3']"
NCT00311584,['A04.71']
NCT00311623,['A18.14']
NCT00311766,"['A06.1', 'A06.7', 'D56.1', 'Q81.9']"
NCT00312195,"['A06.1', 'C00.0', 'F11.10', 'Z30.45']"
NCT00312572,['M16.0']
NCT00312702,"['B08.010', 'B50.0', 'B50.9', 'R97.0']"
NCT00312884,['I50.1']
NCT00312923,"['A02.0', 'E08.37']"
NCT00313560,"['C25.0', 'C25.3']"
NCT00313716,"['B08.21', 'D46.0', 'H26.101']"
NCT00313729,"['C75.3', 'C82.50', 'C91.50']"
NCT00314093,"['C43.0', 'C96.4', 'Z00.6']"
NCT00314106,"['C43.0', 'Y07.13', 'Z00.6', 'Z05.41']"
NCT00314132,"['A39.81', 'A83.0', 'B08.010']"
NCT00314145,['A83.0']
NCT00314262,"['A51.49', 'A66.0', 'G56.20']"
NCT00314366,"['C71.7', 'H35.82', 'I21.01', 'I25.710']"
NCT00315120,"['A17.81', 'K12.31', 'M54.5', 'O24.410', 'Y80.0']"
NCT00315302,"['H18.211', 'H53.001']"
NCT00315328,['H53.001']
NCT00315445,"['A06.1', 'F11.10', 'L02.212', 'Z30.45']"
NCT00315588,['E08.00']
NCT00316004,"['F40.230', 'H26.101']"
NCT00316017,"['A48.3', 'G89.11', 'H26.101']"
NCT00316121,['G23.0']
NCT00316277,"['A69.22', 'F10.20', 'F19.10']"
NCT00316303,"['A02.0', 'A69.22', 'F19.10', 'F20.5', 'F25.0', 'F31.0', 'G62.81', 'P91.4', 'R03.0']"
NCT00316524,['T80.52']
NCT00316706,"['A02.0', 'B97.7', 'N42.31']"
NCT00316862,"['C15.3', 'I85.00']"
NCT00317226,"['A06.1', 'D46.0', 'D50.0']"
NCT00317239,"['A06.1', 'D46.0', 'D50.0']"
NCT00317473,"['B08.010', 'B50.0', 'B50.9', 'C02.0', 'G47.21']"
NCT00317603,"['A08.2', 'C43.52', 'T80.52']"
NCT00317772,"['C57.00', 'E28.0', 'H18.52', 'J39.3', 'K65.1', 'L51.2']"
NCT00318409,"['A02.0', 'F19.10']"
NCT00318461,['E08.00']
NCT00318474,"['A36.84', 'D80.2', 'R80.9']"
NCT00318708,['J45.20']
NCT00318812,"['D46.0', 'D50.0', 'D61.89', 'E08.37', 'O24.410', 'R94.01']"
NCT00319046,"['E75.22', 'Z47.1']"
NCT00319254,"['C00.0', 'C96.0', 'G47.22']"
NCT00319696,"['C81.10', 'H40.011', 'L03.011', 'S64.30']"
NCT00319956,"['A15.0', 'B44.81', 'E28.310', 'H02.021']"
NCT00319982,"['A36.81', 'G97.2']"
NCT00320112,"['E08.00', 'F40.232', 'O24.414', 'Z30.8']"
NCT00320216,['L40.4']
NCT00320593,"['A19.0', 'A81.2', 'H50.43', 'H50.51', 'H52.13', 'H53.021']"
NCT00320606,"['A06.4', 'F10.230', 'R73.02', 'T86.00', 'T86.01', 'T86.290']"
NCT00320749,['C25.3']
NCT00321321,"['E08.00', 'E16.0', 'F60.7', 'H53.72', 'T45.4', 'T50.7']"
NCT00321594,"['A02.20', 'A04.71', 'G47.22', 'P59.20']"
NCT00321698,['A18.14']
NCT00321893,"['D70.1', 'E08.37', 'O99.330']"
NCT00322023,"['E70.320', 'E72.50', 'F20.5']"
NCT00322101,"['A04.71', 'A51.31', 'C90.00', 'C90.10', 'C94.6', 'D47.1', 'E71.520', 'H11.411']"
NCT00322309,"['F14.10', 'F14.21', 'F19.10', 'P91.4']"
NCT00322335,['A41.3']
NCT00322374,['C43.52']
NCT00322465,"['A56.01', 'A56.8']"
NCT00322556,"['D50.0', 'D80.0', 'D80.2', 'D83.9']"
NCT00323115,"['B08.010', 'L51.0', 'Z29.11']"
NCT00323284,"['B73.02', 'E08.36', 'H05.331', 'H21.211']"
NCT00323310,"['A07.0', 'A18.17']"
NCT00323414,"['D68.51', 'E08.00', 'E63.0', 'E88.81', 'K75.81']"
NCT00323427,"['B87.4', 'F43.0', 'F45.41', 'F80.4', 'M10.30', 'O26.20', 'Z30.02']"
NCT00323557,"['A87.2', 'C90.10', 'G00.1']"
NCT00323622,['B50.0']
NCT00323960,"['M33.09', 'O24.410']"
NCT00324259,['C96.0']
NCT00324350,"['A50.54', 'E08.00', 'E78.00', 'G93.2', 'I21.01', 'I70.1', 'M48.40', 'R29.6', 'R29.890']"
NCT00325598,['C96.0']
NCT00325819,"['A01.00', 'T80.52', 'T81.503']"
NCT00326170,"['C90.10', 'C94.6', 'D61.810']"
NCT00326417,['D61.01']
NCT00326495,"['D70.1', 'G47.21', 'G47.22', 'K50.011']"
NCT00326612,['F44.5']
NCT00326716,"['A02.29', 'E08.37']"
NCT00326872,"['A17.81', 'Q85.00']"
NCT00326885,"['A04.71', 'A50.01', 'C22.0', 'C57.00', 'C96.0', 'E28.0', 'H18.52', 'K65.1', 'R18.0', 'R18.8']"
NCT00326950,"['D70.1', 'G47.21']"
NCT00327392,"['C43.60', 'K31.0', 'M21.619', 'T82.511', 'T88.52']"
NCT00328263,"['A04.71', 'K58.0', 'T36.1']"
NCT00328614,"['A18.14', 'E70.321', 'G47.22']"
NCT00328653,"['A36.86', 'B05.81']"
NCT00328770,"['C22.0', 'P59.20', 'T86.00']"
NCT00328861,"['A06.7', 'A18.11', 'C43.0', 'O36.8310', 'R79.1', 'Y07.13', 'Z00.6']"
NCT00329784,"['B00.0', 'B44.81', 'K08.55', 'R04.81', 'Z87.892']"
NCT00330343,"['F45.41', 'L29.9', 'R11.0', 'T36.0']"
NCT00330382,"['C14.0', 'K13.21', 'R13.12']"
NCT00330421,"['A04.71', 'A18.2', 'C46.0']"
NCT00330564,"['A06.6', 'A17.81', 'A18.11', 'A18.17', 'A39.1', 'C00.3', 'C22.0', 'C25.0', 'C69.20', 'G93.0']"
NCT00330733,"['A50.54', 'C22.8', 'D68.51', 'F60.7', 'H01.9', 'I70.1']"
NCT00330928,"['H18.621', 'I20.9', 'I21.01']"
NCT00331136,"['A38.9', 'B50.0', 'K12.31']"
NCT00331344,"['A04.71', 'A18.14']"
NCT00331552,"['A04.71', 'C43.52', 'E70.321']"
NCT00331773,['A18.14']
NCT00331799,"['F25.1', 'P91.4']"
NCT00332579,['F63.2']
NCT00332605,['F10.20']
NCT00332696,"['H04.531', 'K65.1']"
NCT00333814,"['A67.1', 'C10.3']"
NCT00333840,"['C90.10', 'D56.0', 'Q92.0']"
NCT00334061,"['G45.0', 'G46.3', 'Y35.001']"
NCT00334074,"['C90.10', 'D46.0', 'D46.1', 'D46.20', 'D57.00', 'E08.37', 'K08.56', 'O09.511']"
NCT00334542,"['C22.0', 'C43.52']"
NCT00334893,"['C57.00', 'H18.52', 'K65.1']"
NCT00335283,['A18.17']
NCT00335478,"['A00.9', 'A01.00', 'A02.29', 'D70.9']"
NCT00335504,"['D70.1', 'E08.00', 'K50.011']"
NCT00335725,"['E28.0', 'N46.8']"
NCT00335738,['H44.601']
NCT00336323,"['E08.21', 'E08.311', 'E08.3521', 'H47.511']"
NCT00336505,"['A01.03', 'A02.29', 'A06.5', 'A15.0', 'A21.2', 'G47.22', 'R68.13']"
NCT00336544,"['A01.03', 'A02.29', 'A06.5', 'A15.0', 'A21.2', 'G47.22', 'R68.13']"
NCT00336583,"['C81.00', 'D46.0']"
NCT00337818,"['B08.010', 'B97.7', 'N42.31']"
NCT00338598,"['E08.37', 'E72.50', 'F10.21', 'F20.5', 'Z63.72']"
NCT00338962,"['E08.37', 'F10.21', 'P91.4', 'Z63.72']"
NCT00339040,"['A02.0', 'A56.8']"
NCT00339079,['F45.21']
NCT00339144,['D46.0']
NCT00340379,"['A69.22', 'F06.0']"
NCT00340678,"['A18.11', 'A36.84', 'F60.7', 'M32.14', 'P96.2', 'T50.7']"
NCT00342563,"['E08.37', 'F10.21', 'O99.330', 'Z63.72']"
NCT00342628,"['A01.09', 'B08.010', 'D68.312', 'F43.8', 'H51.0', 'O66.40', 'Y38.0']"
NCT00343382,"['A04.71', 'C43.52', 'E28.0', 'N81.5', 'O09.291']"
NCT00343642,"['A04.0', 'A18.17', 'E08.37', 'F43.0', 'O24.410']"
NCT00343785,['D61.01']
