NCT ID,ICD-10 Codes
NCT00005047,"['A18.12', 'C22.0']"
NCT00005669,"['C16.2', 'D51.0', 'E08.00', 'E63.1', 'E66.01', 'E71.520']"
NCT00005780,"['C81.00', 'C83.19', 'D82.3', 'E08.37', 'E34.51']"
NCT00005803,"['A04.71', 'A87.2', 'C91.30', 'D46.0']"
NCT00005879,['C43.52']
NCT00005901,"['E22.2', 'M85.80', 'Q78.0', 'Z79.83']"
NCT00005906,"['H83.3', 'I31.3', 'J84.81', 'J94.0', 'R18.8']"
NCT00005908,"['C00.0', 'C43.52', 'I25.730', 'W27.3']"
NCT00005937,['C94.6']
NCT00005947,"['A04.71', 'A18.14']"
NCT00006011,"['C57.4', 'N85.00']"
NCT00006046,"['A04.71', 'D70.1', 'K50.011']"
NCT00006099,"['E28.0', 'H18.52']"
NCT00006101,['A18.14']
NCT00006110,"['A18.17', 'C43.52']"
NCT00006164,"['A18.17', 'A51.45', 'E84.0', 'K70.30', 'T37.5']"
NCT00006178,"['D61.89', 'D89.0', 'T86.00', 'T86.01']"
NCT00006184,"['A19.1', 'C90.02']"
NCT00006227,['E28.0']
NCT00006237,"['A04.71', 'C43.0']"
NCT00006244,"['A19.1', 'D46.0']"
NCT00006289,"['E08.610', 'G56.40', 'G90.50', 'H05.331', 'H44.131', 'P04.0']"
NCT00006305,"['A07.0', 'A50.54', 'D68.51', 'E08.00', 'F60.7', 'I21.01']"
NCT00006389,['I86.4']
NCT00006392,['A18.14']
NCT00006400,"['A07.0', 'D46.0', 'E70.330']"
NCT00006409,"['A07.0', 'A50.54', 'E66.01']"
NCT00006436,"['C81.00', 'D47.2', 'D61.810', 'R85.614']"
NCT00006478,"['C81.00', 'C82.00']"
NCT00006604,"['A02.0', 'B96.0', 'D68.311', 'E08.37', 'K12.31', 'M26.10', 'O77.1']"
NCT00006721,"['C81.00', 'C82.00', 'L89.40']"
NCT00006903,"['A04.71', 'C57.4']"
NCT00006916,"['A81.81', 'C91.50']"
NCT00007020,"['E71.50', 'E71.510', 'E71.511', 'G12.0', 'K71.0']"
NCT00007345,"['A06.7', 'A18.2', 'A39.1', 'C81.00', 'C84.09']"
NCT00007475,"['C90.10', 'F81.81', 'I95.3', 'M99.00', 'R80.9']"
NCT00007644,"['A06.82', 'A07.0', 'A18.14', 'E08.37', 'N52.31', 'Z30.8']"
NCT00008138,"['C57.00', 'E28.0', 'F20.3', 'H18.52', 'K65.1']"
NCT00008385,['D70.1']
NCT00009737,['D70.1']
NCT00009945,['C43.52']
NCT00010257,['C22.0']
NCT00010439,"['A18.17', 'C49.0', 'M80.00']"
NCT00010803,"['F01.50', 'G30.9']"
NCT00011986,"['E28.0', 'K65.1']"
NCT00012012,"['C22.0', 'G54.2', 'J70.0']"
NCT00012298,"['A04.71', 'A87.2', 'C81.49', 'C82.00', 'C88.0', 'H16.041']"
NCT00013611,"['A02.29', 'C91.50', 'E08.37']"
NCT00014222,['C43.52']
NCT00014495,"['A04.71', 'A81.81', 'C90.10', 'C93.12', 'C94.6', 'D46.0', 'D46.1', 'D47.1', 'E71.520', 'H11.411', 'R85.616']"
NCT00014560,"['A04.71', 'A87.2', 'C81.00', 'C82.00', 'C83.50', 'C90.10']"
NCT00014911,['F60.7']
NCT00015457,"['G24.01', 'M43.6', 'R25.2', 'T38.905']"
NCT00015847,"['A68.0', 'C90.10', 'Q92.0']"
NCT00016354,['A00.9']
NCT00016718,"['A02.0', 'B96.0', 'D68.311', 'E08.37', 'K12.31', 'O77.1']"
NCT00016913,['A18.14']
NCT00017563,['A18.14']
NCT00018031,"['A02.0', 'A18.17', 'A51.45', 'D69.3', 'D82.3', 'K70.30']"
NCT00019604,"['A00.9', 'A02.20', 'A04.71', 'A06.4', 'D70.1']"
NCT00019682,"['A04.71', 'C43.0']"
NCT00019747,"['A04.71', 'D70.1', 'K50.011']"
NCT00020722,"['A04.71', 'C43.52']"
NCT00021229,"['A04.71', 'A81.81', 'E71.520']"
NCT00021255,['C96.0']
NCT00021541,"['A18.4', 'Q85.00', 'Q95.8', 'R49.0']"
NCT00022490,"['C90.10', 'Q92.0']"
NCT00022516,"['C43.52', 'D61.810', 'E28.0', 'E70.320', 'T50.7']"
NCT00022633,"['A04.71', 'A18.12', 'A69.29', 'C02.3', 'C10.3', 'C22.0', 'D70.1', 'G90.50', 'N34.0']"
NCT00022659,"['H18.52', 'K65.1']"
NCT00022672,['C43.52']
NCT00022698,"['A04.71', 'A54.6', 'C18.0', 'D70.1', 'K50.011']"
NCT00022763,"['A02.0', 'B96.0']"
NCT00023309,"['A06.4', 'A51.45', 'D81.5']"
NCT00023322,"['A06.4', 'A51.45', 'D56.0', 'K70.30', 'T37.5']"
NCT00023452,"['A02.29', 'A15.0']"
NCT00023595,"['A07.0', 'A50.54', 'I21.01', 'I50.1']"
NCT00023673,"['A06.5', 'C44.02', 'D70.1']"
NCT00023712,"['H18.52', 'K65.1']"
NCT00023764,"['A04.71', 'C82.00']"
NCT00024102,['C43.52']
NCT00024167,"['A04.71', 'A18.14', 'D61.810', 'E28.1']"
NCT00024258,"['A02.20', 'A04.71', 'A18.11', 'A18.2', 'A71.0', 'A81.81', 'B00.7', 'C22.2', 'C46.0', 'D70.1', 'E28.0', 'E29.0', 'E71.520', 'G90.50', 'H05.821', 'H44.601']"
NCT00025155,"['H18.52', 'K65.1']"
NCT00025233,"['A04.71', 'C22.0']"
NCT00025662,"['A18.17', 'A18.2', 'A87.2', 'C81.00', 'C83.19', 'C83.50', 'C90.10', 'C92.50', 'D46.1', 'T86.00', 'Z00.5']"
NCT00025883,['E08.00']
NCT00026221,"['A04.71', 'C43.0']"
NCT00026312,"['A02.20', 'A04.71', 'A71.0', 'G90.50']"
NCT00026494,['D70.1']
NCT00027027,['C96.0']
NCT00027378,"['F10.21', 'P91.4', 'Z63.72']"
