subdir,checkpoint,roc_auc_mean,roc_auc_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,accuracy_mean,accuracy_std
mse_all,all_1.04_0.02_student_8.ckpt,0.6472057651202737,0.008847367262292774,0.7261593479343376,0.0064112720781050484,0.7430464081489669,0.009879251692153092,0.6954060093559583,0.008400743653316113,0.6412741480355979,0.006554837716470087
mse_all,all_1.04_0.02_teacher_8.ckpt,0.6427898497034885,0.007831068060632324,0.7298400351806136,0.006259817031334491,0.7439950721677371,0.009296116192986884,0.6907305876850824,0.008368022356541858,0.6414477968309095,0.006220710203686049
mse_all,all_1.06_0.02_student_9.ckpt,0.6415581747275351,0.008421872658252543,0.7274547656854519,0.006434126268470096,0.7423636970014834,0.009354833725276202,0.6892786981471776,0.008217992967790891,0.6387562405035815,0.00650092241840478
mse_all,all_1.06_0.02_teacher_9.ckpt,0.6404437124220853,0.007928231026786149,0.7211619788771755,0.006424586356168232,0.7418446808962347,0.009730392111173736,0.698317521716647,0.008475305505229982,0.6390818319947905,0.005949560282648067
mse_all,all_1.08_0.02_student_10.ckpt,0.6439796360470955,0.009055890674050174,0.74314358921616,0.006704781937158148,0.7440773656135035,0.010021729709718676,0.6842848111670914,0.008232067820711364,0.6481441285001084,0.00731852937282796
mse_all,all_1.08_0.02_teacher_10.ckpt,0.6407057647948006,0.007542360758468029,0.725229089949315,0.006327316946364971,0.7420190123621679,0.009415800928024104,0.6859131530384909,0.008202117968070539,0.6350553505535055,0.0064016803624908645
mse_all,all_1.0_0.02_student_6.ckpt,0.6447419806484207,0.007941700204167328,0.7303441914467838,0.005850560204317344,0.7515621361732826,0.008506487987256783,0.6915657729142133,0.007652222198596875,0.642316040807467,0.006218816422813543
mse_all,all_1.0_0.02_teacher_6.ckpt,0.6433134422471694,0.008499435492781555,0.7244832033097717,0.006122938845835023,0.7473413966454459,0.009701278768330662,0.6936082632510768,0.007726992826769421,0.6389733014977208,0.005909433243347279
mse_hint,hint_0.72_0.02_student_2.ckpt,0.6598436701266923,0.00779029476032139,0.7197011952421969,0.007058034643195335,0.7562664581964035,0.009531510542390351,0.6899799044304087,0.01007097965874367,0.6363076437144664,0.006782064647147775
mse_hint,hint_0.72_0.02_teacher_2.ckpt,0.6685056923780227,0.005894551424428564,0.7143738062374059,0.006172509342839319,0.7611823005484644,0.008585371551458866,0.7210447396796912,0.009987821548623804,0.6485944409349337,0.00630801222869343
